addr	size	mangled	demangled
08075f50	376	_ZN9KItemList13SetImmediaObjEiii	KItemList::SetImmediaObj(int,int,int)
080760d0	182	_ZN9KItemList20_OnImmediaItemRemoveEii	KItemList::_OnImmediaItemRemove(int,int)
08076190	512	_ZN9KItemList16AutoMoveMedicineEiiiii	KItemList::AutoMoveMedicine(int,int,int,int,int)
08076390	178	_ZN9KItemList17SyncItemBindStateEi	KItemList::SyncItemBindState(int)
08076450	392	_ZN9KItemList8WriteLogEPKcz	KItemList::WriteLog(char const*,...)
080765e0	110	_ZN9KItemList6GMLockEv	KItemList::GMLock(void)
08076650	120	_ZN9KItemList16GMCanclePasswordEv	KItemList::GMCanclePassword(void)
080766d0	107	_ZN9KItemList13GMSetPasswordEm	KItemList::GMSetPassword(unsigned long)
08076740	198	_ZN9KItemList14SearchPositionEiiP7ItemPos	KItemList::SearchPosition(int,int,ItemPos *)
08076810	288	_ZN9KItemList15FindItemToStackEi14INVENTORY_ROOMiiPiS1_i	KItemList::FindItemToStack(int,INVENTORY_ROOM,int,int,int *,int *,int)
08076930	490	_ZN9KItemList18TradeCheckCanPlaceEv	KItemList::TradeCheckCanPlace(void)
08076b20	20	_ZN9KItemList29FindSameParticularInEquipmentEiiiPiS0_S0_	KItemList::FindSameParticularInEquipment(int,int,int,int *,int *,int *)
08076b40	751	_ZN9KItemList11BackupTradeEv	KItemList::BackupTrade(void)
08076e30	35	_ZN9KItemList9ClearRoomEi	KItemList::ClearRoom(int)
08076e60	56	_ZN9KItemList10StartTradeEv	KItemList::StartTrade(void)
08076ea0	95	_ZN9KItemList9CostMoneyEi	KItemList::CostMoney(int)
08076f00	80	_ZN9KItemList8AddMoneyEii	KItemList::AddMoney(int,int)
08076f50	230	_ZN9KItemList13ExchangeMoneyEiii	KItemList::ExchangeMoney(int,int,int)
08077040	133	_ZN9KItemList17EquipSuitExtSkillEiii	KItemList::EquipSuitExtSkill(int,int,int)
080770d0	337	_ZN9KItemList19CheckGoldEquipSuiteEv	KItemList::CheckGoldEquipSuite(void)
08077230	170	_ZN9KItemList22ActivateExtMagicAttribEPK5KItemii	KItemList::ActivateExtMagicAttrib(KItem const*,int,int)
080772e0	113	_ZN9KItemList20NotifyExtSuiteChangeEiii	KItemList::NotifyExtSuiteChange(int,int,int)
08077360	111	_ZN9KItemList17EquipPlatinaSkillEiiit	KItemList::EquipPlatinaSkill(int,int,int,unsigned short)
080773d0	34	_ZN9KItemList19UnEquipSuitExtSkillEii	KItemList::UnEquipSuitExtSkill(int,int)
08077400	9	_ZN9KItemList19UnequipPlatinaSkillEii	KItemList::UnequipPlatinaSkill(int,int)
08077410	236	_ZN9KItemList14GetFeatureTypeEP5KItem9ITEM_PART	KItemList::GetFeatureType(KItem *,ITEM_PART)
08077500	202	_ZN9KItemList14EquipResForNPCEiii	KItemList::EquipResForNPC(int,int,int)
080775d0	510	_ZN9KItemList12EnoughAttribEPK12KMagicAttrib	KItemList::EnoughAttrib(KMagicAttrib const*)
080777d0	231	_ZN9KItemList8CanEquipEP5KItemi	KItemList::CanEquip(KItem *,int)
080778c0	43	_ZN9KItemList8CanEquipEii	KItemList::CanEquip(int,int)
080778f0	669	_ZN9KItemList4InitEi	KItemList::Init(int)
08077b90	236	_ZN9KItemList21GetItemIndexFromPlaceEP7ItemPos	KItemList::GetItemIndexFromPlace(ItemPos *)
08077c80	153	_ZN9KItemList16GetItemFromPlaceEP7ItemPos	KItemList::GetItemFromPlace(ItemPos *)
08077d20	72	_ZN9KItemList14GetFeatureTypeE9ITEM_PART	KItemList::GetFeatureType(ITEM_PART)
08077d70	287	_ZN9KItemList15GetWeaponDamageEPiS0_	KItemList::GetWeaponDamage(int *,int *)
08077e90	35	_ZN9KItemList19GetWeaponParticularEv	KItemList::GetWeaponParticular(void)
08077ec0	87	_ZN9KItemList8IsMyItemEi	KItemList::IsMyItem(int)
08077f20	175	_ZN9KItemList19GetTaskItemLifeTimeEi	KItemList::GetTaskItemLifeTime(int)
08077fd0	139	_ZN9KItemList16GetTaskItemNumExEi	KItemList::GetTaskItemNumEx(int)
08078060	127	_ZN9KItemList11IsItemExistEiii	KItemList::IsItemExist(int,int,int)
080780e0	114	_ZN9KItemList14GetTaskItemNumEi	KItemList::GetTaskItemNum(int)
08078160	106	_ZN9KItemList15IsTaskItemExistEi	KItemList::IsTaskItemExist(int)
080781d0	65	_ZN9KItemList11GetNextItemEv	KItemList::GetNextItem(void)
08078220	52	_ZN9KItemList12GetFirstItemEv	KItemList::GetFirstItem(void)
08078260	112	_ZN9KItemList8FindNextERiS0_	KItemList::FindNext(int &,int &)
080782d0	32	_ZN9KItemList19GetEquipMantleLevelEv	KItemList::GetEquipMantleLevel(void)
080782f0	246	_ZN9KItemList31GetNextItemIndexInRoom_SameGDPLERiiiii13ITEM_POSITION	KItemList::GetNextItemIndexInRoom_SameGDPL(int &,int,int,int,int,ITEM_POSITION)
080783f0	364	_ZN9KItemList20GetTradeRoomItemInfoEv	KItemList::GetTradeRoomItemInfo(void)
08078560	141	_ZN9KItemList20CheckEquipHoldStatusEii	KItemList::CheckEquipHoldStatus(int,int)
080785f0	20	_ZN9KItemList14GetMoneyAmountEv	KItemList::GetMoneyAmount(void)
08078610	168	_ZN9KItemList8DecMoneyEi	KItemList::DecMoney(int)
080786c0	283	_ZN9KItemList8SyncItemEi	KItemList::SyncItem(int)
080787e0	49	_ZN9KItemList8SetMoneyEiii	KItemList::SetMoney(int,int,int)
08078820	154	_ZN9KItemList20FindScriptItemParam2Eiiii	KItemList::FindScriptItemParam2(int,int,int,int)
080788c0	172	_ZN9KItemList14FindScriptItemEiiii	KItemList::FindScriptItem(int,int,int,int)
08078970	178	_ZN9KItemList17PlayerSetPasswordEm	KItemList::PlayerSetPassword(unsigned long)
08078a30	105	_ZN9KItemList10PlayerLockEv	KItemList::PlayerLock(void)
08078aa0	437	_ZN9KItemList23GetItemCount_SameGDPLSQEiiiiii13ITEM_POSITIONi	KItemList::GetItemCount_SameGDPLSQ(int,int,int,int,int,int,ITEM_POSITION,int)
08078c60	236	_ZN9KItemList17GetExtActiveCountEv	KItemList::GetExtActiveCount(void)
08078d50	351	_ZN9KItemList18CheckExtEquipSuiteEPK5KItemi	KItemList::CheckExtEquipSuite(KItem const*,int)
08078eb0	98	_ZN9KItemList12CompareItemsERKSt3setIiSt4lessIiESaIiEES6_	KItemList::CompareItems(std::set<int,std::less<int>,std::allocator<int>> const&,std::set<int,std::less<int>,std::allocator<int>> const&)
08078f20	259	_ZNK9KItemList15GetEquipEnhanceEii	KItemList::GetEquipEnhance(int,int)const
08079030	56	_ZN9KItemList18GetActiveAttribNumEi	KItemList::GetActiveAttribNum(int)
08079070	208	_ZN9KItemList26ActiveAllEquipHiddenAttribEP4KNpcii	KItemList::ActiveAllEquipHiddenAttrib(KNpc *,int,int)
08079140	164	_ZN9KItemList18EquipMagicForSuiteEP4KNpcii	KItemList::EquipMagicForSuite(KNpc *,int,int)
080791f0	268	_ZN9KItemList18InfectionNextEquipEii	KItemList::InfectionNextEquip(int,int)
08079300	202	_ZN9KItemList11SetItemMaskEiii	KItemList::SetItemMask(int,int,int)
080793d0	262	_ZN9KItemList20UnEquipMagicForSuiteEP4KNpcii	KItemList::UnEquipMagicForSuite(KNpc *,int,int)
080794e0	909	_ZN9KItemList13ActivateEquipEiii	KItemList::ActivateEquip(int,int,int)
08079870	112	_ZN9KItemList17ConfirmActivationEv	KItemList::ConfirmActivation(void)
080798e0	248	_ZN9KItemList5EquipEii	KItemList::Equip(int,int)
080799e0	532	_ZN9KItemList10CanUnEquipEP5KItemi	KItemList::CanUnEquip(KItem *,int)
08079c00	397	_ZN9KItemListC2Ev	KItemList::KItemList(void)
08079d90	178	_ZN9KItemListD1Ev	KItemList::~KItemList()
08079e50	141	_ZN9KItemList8GMUnlockEv	KItemList::GMUnlock(void)
08079ee0	462	_ZN9KItemList14CheckRoomItemsE14INVENTORY_ROOM	KItemList::CheckRoomItems(INVENTORY_ROOM)
0807a0b0	132	_ZN9KItemList12GetRoomItemsE14INVENTORY_ROOMRSt3setIiSt4lessIiESaIiEE	KItemList::GetRoomItems(INVENTORY_ROOM,std::set<int,std::less<int>,std::allocator<int>> &)
0807a140	488	_ZN9KItemList12RecoverTradeEv	KItemList::RecoverTrade(void)
0807a330	178	_ZN9KItemListD2Ev	KItemList::~KItemList()
0807a3f0	397	_ZN9KItemListC1Ev	KItemList::KItemList(void)
0807a580	497	_ZN9KItemList13CheckPassWordEm	KItemList::CheckPassWord(unsigned long)
0807a780	148	_ZN9KItemList12PlayerUnlockEm	KItemList::PlayerUnlock(unsigned long)
0807a820	209	_ZN9KItemList20PlayerChangePasswordEmm	KItemList::PlayerChangePassword(unsigned long,unsigned long)
0807a900	224	_ZN9KItemList20PlayerCanclePasswordEm	KItemList::PlayerCanclePassword(unsigned long)
0807a9e0	1132	_ZN9KItemList15DeactivateEquipEiiPSt6vectorI13KITEM_CONSUMESaIS1_EE	KItemList::DeactivateEquip(int,int,std::vector<KITEM_CONSUME,std::allocator<KITEM_CONSUME>> *)
0807ae50	99	_ZN9KItemList19ConfirmDeactivationEPSt6vectorI13KITEM_CONSUMESaIS1_EE	KItemList::ConfirmDeactivation(std::vector<KITEM_CONSUME,std::allocator<KITEM_CONSUME>> *)
0807aec0	149	_ZN9KItemList7UnequipEiiPSt6vectorI13KITEM_CONSUMESaIS1_EE	KItemList::Unequip(int,int,std::vector<KITEM_CONSUME,std::allocator<KITEM_CONSUME>> *)
0807af60	1194	_ZN9KItemList6RemoveEi	KItemList::Remove(int)
0807b410	262	_ZN9KItemList12SetItemCountEii	KItemList::SetItemCount(int,int)
0807b520	530	_ZN9KItemList11ConsumeItemEiiii13ITEM_POSITIONi	KItemList::ConsumeItem(int,int,int,int,ITEM_POSITION,int)
0807b740	102	_ZN9KItemList7PayCoinEi	KItemList::PayCoin(int)
0807b7b0	646	_ZN9KItemList22ConsumeItem_SameGDPLSQEiiiiii13ITEM_POSITIONi	KItemList::ConsumeItem_SameGDPLSQ(int,int,int,int,int,int,ITEM_POSITION,int)
0807ba40	623	_ZN9KItemList9StackItemEii	KItemList::StackItem(int,int)
0807bcb0	325	_ZN9KItemList15AutoStackInRoomE14INVENTORY_ROOMii	KItemList::AutoStackInRoom(INVENTORY_ROOM,int,int)
0807be00	218	_ZN9KItemList16RemoveTaskItemExEi	KItemList::RemoveTaskItemEx(int)
0807bee0	234	_ZN9KItemList10RemoveItemEiii	KItemList::RemoveItem(int,int,int)
0807bfd0	202	_ZN9KItemList14RemoveTaskItemEi	KItemList::RemoveTaskItem(int)
0807c0a0	225	_ZN9KItemList9RemoveAllEv	KItemList::RemoveAll(void)
0807c190	1688	_ZN9KItemList11EatMecidineEim	KItemList::EatMecidine(int,unsigned long)
0807c830	389	_ZN9KItemList11EatMecidineEiiim	KItemList::EatMecidine(int,int,int,unsigned long)
0807c9c0	1838	_ZN9KItemList3AddEiiiii	KItemList::Add(int,int,int,int,int)
0807d0f0	158	_ZN9KItemList6MantleEv	KItemList::Mantle(void)
0807d190	469	_ZN9KItemList13Add_AutoStackE14INVENTORY_ROOMii	KItemList::Add_AutoStack(INVENTORY_ROOM,int,int)
0807d370	929	_ZN9KItemList10DivideItemEP7KPlayeriii	KItemList::DivideItem(KPlayer *,int,int,int)
0807d720	258	_ZN9KItemList18ReActivateExtEquipEv	KItemList::ReActivateExtEquip(void)
0807d830	1014	_ZN9KItemList6AbradeEi	KItemList::Abrade(int)
0807dc30	968	_ZN9KItemList23AbradePercentInAllEquipEi	KItemList::AbradePercentInAllEquip(int)
0807e000	175	_ZN9KItemList19ConfirmDeactivationEv	KItemList::ConfirmDeactivation(void)
0807e0b0	198	_ZN9KItemList13UnequipRemoveEii	KItemList::UnequipRemove(int,int)
0807e180	4630	_ZN9KItemList16ExchangeItemHandEP7ItemPosS1_	KItemList::ExchangeItemHand(ItemPos *,ItemPos *)
0807f3a0	25	_ZN9KItemList12ExchangeItemEP7ItemPosS1_	KItemList::ExchangeItem(ItemPos *,ItemPos *)
0807f3c0	426	_ZN9KItemList9AutoEquipEi	KItemList::AutoEquip(int)
0807f570	1780	_ZN9KItemList29AutoLoseItemFromEquipmentRoomEi	KItemList::AutoLoseItemFromEquipmentRoom(int)
0807fc70	1592	_ZN9KItemList13AutoLoseEquipEv	KItemList::AutoLoseEquip(void)
080802b0	1790	_ZN9KItemList33ConstantLoseItemFromEquipmentRoomEv	KItemList::ConstantLoseItemFromEquipmentRoom(void)
080809b0	3876	_ZN9KItemList20ThrowAwayAllMedicineEii	KItemList::ThrowAwayAllMedicine(int,int)
080818e0	87	_ZNSt8_Rb_treeIiiSt9_IdentityIiESt4lessIiESaIiEE4findERKi	std::_Rb_tree<int,int,std::_Identity<int>,std::less<int>,std::allocator<int>>::find(int const&)
